iter	F1	Logloss
81	0.8167056169	0.4160928685
82	0.817214794	0.4152397053
83	0.8178521589	0.4147986362
84	0.8183627671	0.4138053114
85	0.8182350553	0.4133155252
86	0.819129876	0.4126733781
87	0.8188740133	0.4122373965
88	0.819129876	0.4118697593
89	0.8190019247	0.4111604578
90	0.8189749484	0.410054012
91	0.8214398558	0.4090025341
92	0.8228761357	0.4081845928
93	0.8230694526	0.4073048355
94	0.8235208788	0.4061163799
95	0.8236499487	0.4055443119
96	0.8237144988	0.4046134361
97	0.8252019489	0.4033959687
98	0.8255908632	0.4027687699
99	0.8257854579	0.4023610556
100	0.8263697928	0.4014818931
101	0.8255138256	0.4009849945
102	0.8266947807	0.400303497
103	0.8266947807	0.4002067174
104	0.8270851038	0.3996476739
105	0.8269460179	0.3986962774
106	0.8270112356	0.3983726853
107	0.827468048	0.397777586
108	0.8270677838	0.3971240281
109	0.8275257144	0.3969374583
110	0.8275257144	0.3967274643
111	0.8275911744	0.3962418508
112	0.82791863	0.3960259125
113	0.8271901495	0.3953552984
114	0.8290339202	0.3947542256
115	0.8311407949	0.3937833
116	0.830020498	0.3927618437
117	0.8302180954	0.3924868343
118	0.8300863533	0.3923273514
119	0.8304157869	0.3916009212
120	0.831141462	0.3906701901
121	0.8313395935	0.3904605486
122	0.8320007148	0.3891403683
123	0.8322654578	0.3888952659
124	0.8325966236	0.3883836355
125	0.8320033774	0.3879030037
126	0.8331933867	0.3872044312
127	0.8336581275	0.3864053533
128	0.8354449003	0.3860933024
129	0.8357112249	0.3852439034
130	0.8359777193	0.3850302401
131	0.8363110764	0.3848332772
132	0.836711456	0.3842741915
133	0.8377140842	0.3837413086
134	0.8378479495	0.3835773448
135	0.8379818577	0.3832421038
136	0.8373948018	0.3820121384
137	0.8386520409	0.3814189561
138	0.8389875347	0.3806438975
139	0.8389204145	0.3804622089
140	0.8389204145	0.3801874913
141	0.839256123	0.3799092072
142	0.840130224	0.3789824727
143	0.8406016484	0.3784082291
144	0.8405342697	0.3776670787
145	0.8407364383	0.3772920344
146	0.8414785559	0.3766365584
147	0.8415460861	0.3763860423
148	0.8415460861	0.3760868149
149	0.8418163154	0.3757660629
150	0.8426280454	0.3748998847
151	0.8424926484	0.374460013
152	0.8425603415	0.3743236238
153	0.8425603415	0.3740884307
154	0.8426957603	0.3732896952
155	0.8428989701	0.3731141724
156	0.8437127905	0.3726020864
157	0.8447322785	0.3717119558
158	0.8446642359	0.3715953167
159	0.8445281838	0.3710813315
160	0.8460597508	0.3705010492
161	0.8459235625	0.3704505974
162	0.8450726555	0.3693744093
163	0.8453451547	0.3687409106
164	0.8452770135	0.3686361751
165	0.845413307	0.3684713557
166	0.8455496445	0.3681333162
167	0.845958921	0.3679522386
168	0.845958921	0.3679250055
169	0.8472191242	0.3673566108
170	0.8475607213	0.3672101164
171	0.8478341974	0.3670667433
172	0.847902594	0.3663472255
173	0.847257581	0.3658712685
174	0.847257581	0.3658311734
175	0.847257581	0.3657183491
176	0.847394514	0.3654775868
177	0.847257581	0.3651551819
178	0.8475314913	0.3648032046
179	0.8476685129	0.3644133136
180	0.8484915738	0.3640008159
181	0.8487662828	0.3635349915
182	0.8505098671	0.3628051263
183	0.8510608112	0.3617716427
184	0.8514055139	0.3613800623
185	0.8514055139	0.3609417561
186	0.8523904991	0.3602664851
187	0.8529426131	0.3597271755
188	0.8529426131	0.3595639381
189	0.8526664667	0.3589718322
190	0.8535645969	0.3585586778
191	0.8536337622	0.3582498048
192	0.8537721265	0.3581295924
193	0.8538413255	0.3578814019
194	0.8541182335	0.357304887
195	0.8540489896	0.3569817315
196	0.8545339324	0.3566623393
197	0.8549500362	0.3558745461
198	0.8554360031	0.3556923583
199	0.8557139466	0.3554607132
200	0.8557139466	0.3554486733
201	0.8558529861	0.3551033503
202	0.8560616301	0.3546937186
203	0.8559920708	0.3543419624
204	0.8558529861	0.3539226971
205	0.8553549519	0.3532842575
206	0.8558424982	0.3528915198
207	0.8555638323	0.352435157
208	0.8557031425	0.3523480973
209	0.8557031425	0.3521943633
210	0.8560516168	0.3518940047
211	0.8563306006	0.3512103611
212	0.8577344512	0.3506928096
213	0.8569589796	0.3505490662
214	0.8569589796	0.350275853
215	0.8573784114	0.3497673347
216	0.8571686442	0.3493545896
217	0.8573084776	0.3490089052
218	0.8577282518	0.3485772578
219	0.8578682679	0.3478088597
220	0.8580083297	0.3477821693
221	0.8590634116	0.3474010148
222	0.85976452	0.346803245
223	0.8596242068	0.3461856785
224	0.8600452838	0.3459958382
225	0.8601857345	0.3453310784
226	0.8609590341	0.3448414849
227	0.8608886767	0.3446304742
228	0.8614518582	0.3441606694
229	0.8614518582	0.344080089
230	0.861804221	0.3435700163
231	0.8615927687	0.34342682
232	0.8624392009	0.3431332514
233	0.862863041	0.3424769993
234	0.862792372	0.3423757485
235	0.8630751172	0.3420426588
236	0.8630751172	0.341714954
237	0.8631458325	0.341228742
238	0.8631458325	0.3410514131
239	0.8632872978	0.3408338703
240	0.8634995827	0.3404991577
241	0.8639244659	0.3401492359
242	0.8641370643	0.3399380654
